stationID,count
293,76065
497,71207
435,68933
519,66694
426,62966
285,60225
151,56431
402,53759
499,51812
444,51320
284,51273
459,50303
382,50121
250,49867
368,49486
327,48017
2006,46065
387,45384
281,43540
537,43155
358,42789
168,42428
490,42060
446,41564
127,41238
477,40360
521,39082
375,38679
496,38183
462,38103
463,38093
379,37158
514,37051
504,37042
523,36640
147,36452
405,36325
380,35835
442,35564
505,35318
3002,35160
457,35141
348,34883
509,34702
458,34560
128,34429
483,34360
417,34332
116,34188
318,33815
472,33658
161,33362
494,33259
466,32404
518,32384
236,32055
432,32027
491,31749
492,31566
345,31523
474,31413
503,31368
251,31216
488,31109
334,31075
237,30941
546,30445
507,30418
445,30392
479,30341
453,30149
347,30029
297,29772
335,29739
486,29687
498,29563
528,29535
461,29492
527,29440
329,28923
312,28822
482,28762
517,28647
401,28512
294,28474
489,28386
336,27724
476,27685
526,27494
305,27274
173,27016
510,27004
465,26776
225,26692
511,26564
352,26517
531,26341
447,26197
404,26015
536,26012
515,25859
470,25734
545,25627
428,25535
383,25515
263,25462
2021,25443
229,25395
388,25377
223,25300
439,24992
326,24976
484,24895
307,24829
434,24606
433,24540
268,24491
153,24477
410,24434
438,24307
359,24233
361,24227
301,24176
500,23906
475,23787
304,23774
478,23500
468,23340
303,23131
2010,22952
265,22732
363,22719
280,22655
252,22627
529,22292
167,22259
2008,22189
346,22043
448,22033
403,22015
300,22011
195,21940
257,21746
520,21579
328,21523
2004,21356
512,21286
279,21093
485,21034
530,20949
212,20374
355,20360
493,20199
450,19935
377,19810
495,19646
532,19623
533,19540
357,19461
412,19094
228,18990
72,18937
487,18921
449,18880
386,18841
137,18801
440,18679
455,18678
501,18558
325,18444
317,18372
79,18367
315,18319
369,18308
253,18107
522,17974
309,17810
247,17672
524,17589
2012,17492
146,17427
394,17424
174,17367
217,17345
296,17169
290,17160
164,17054
427,17042
316,17000
469,16906
259,16853
415,16681
456,16390
238,16373
330,16362
525,16274
160,16191
480,16151
473,15959
362,15909
306,15774
267,15672
367,15552
311,15539
508,15273
254,15242
441,15170
152,15159
295,15100
224,15074
430,14920
351,14834
264,14786
539,14704
513,14419
2003,14382
320,14317
276,14101
423,14022
360,13958
2002,13783
540,13564
350,13299
2000,12995
422,12986
534,12808
376,12749
2023,12709
356,12515
337,12215
150,12021
385,11963
308,11953
249,11856
391,11506
2022,11410
392,11276
310,11054
323,11039
324,10955
502,10742
538,10502
454,10316
260,10298
393,10091
349,9971
314,9940
341,9769
516,9590
2017,9506
411,9372
398,9206
464,9063
414,9025
83,8908
332,8904
340,8489
467,8380
321,8334
2009,8257
471,8016
157,7977
342,7976
408,7811
366,7725
239,7671
302,7610
3141,7589
232,7560
3165,7518
248,7422
261,7173
322,7169
82,7132
291,7117
331,6962
3224,6875
406,6831
389,6588
460,6547
270,6415
3104,6376
282,6282
390,6222
143,6137
313,6082
274,6041
481,6003
243,5746
233,5690
258,5495
395,5393
271,5370
3158,5299
416,5232
242,5075
266,5049
216,4824
3093,4760
241,4739
3090,4694
365,4668
3142,4456
437,4448
353,4438
319,4426
397,4313
3156,4310
3159,4302
3170,4295
418,4270
3223,4122
343,4086
244,4027
3163,4010
3160,3951
3164,3935
400,3867
3175,3866
144,3862
262,3856
396,3827
3145,3791
3119,3684
3177,3668
3134,3654
3140,3654
399,3625
364,3610
420,3598
3136,3587
354,3571
3137,3568
3132,3537
339,3487
373,3398
344,3356
3147,3314
3107,3253
218,3199
3143,3158
3139,3144
275,3140
3092,3122
298,3114
278,3073
384,3053
3129,3007
407,2990
3112,2980
245,2896
3135,2771
409,2767
3231,2755
3168,2730
3086,2707
120,2706
3172,2659
3222,2655
3180,2645
3169,2633
421,2588
3101,2552
3124,2401
3178,2400
3176,2371
3181,2369
3103,2367
3133,2290
3087,2276
3167,2238
431,2159
3182,2158
3113,2141
3150,2112
3144,2077
419,2077
3115,2076
372,2059
3126,2033
3108,1930
436,1912
3102,1896
443,1869
3110,1820
3074,1798
3235,1785
3166,1749
3146,1631
3233,1624
3106,1562
3149,1560
3148,1516
3118,1514
3109,1387
289,1369
3111,1365
3079,1354
3120,1319
3125,1315
3117,1290
2001,1274
3083,1224
3226,1206
3097,1142
3088,1134
3121,1111
3064,1106
3234,1087
3091,1040
3084,1026
119,1018
3173,1017
3098,1008
3081,981
3094,955
3162,933
3161,869
3016,836
3073,836
3071,763
3085,725
3068,718
3076,711
3127,702
3077,701
3114,698
3171,695
3082,690
3155,660
3075,645
3062,639
3042,636
2005,620
3105,614
3066,594
3095,591
3067,576
3052,561
3069,557
3060,531
3050,527
3123,500
3065,472
3058,462
3055,444
3056,432
3047,430
3049,416
3054,416
3157,413
3072,395
3080,393
3041,382
3043,381
3048,381
3057,361
3070,361
3128,361
3063,360
3232,338
3116,330
3053,312
3046,310
3179,305
3130,300
3221,297
3014,277
3122,271
3044,262
3059,261
3061,246
3229,179
3230,106
3099,18
255,15
3237,10
